Clear_B01,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
0.17345,0.80742,0.75384,0.86946,0.89076,0.92864,0.95401,0.91134,0.97928,0.29652,0.00137,0.90778,0.84586
0.10895,0.21255,0.22745,0.47135,0.2036,0.65198,0.97746,0.9327,0.99321,0.3405,0.00054,0.93683,0.82273
0.12364,0.76243,0.76219,0.8967,0.85824,0.9098,0.95991,0.8579,0.99082,0.09471,0.00042,0.92658,0.82012
0.09689,0.96251,0.89632,0.93236,0.86773,0.91192,0.96253,0.86358,0.99142,0.10301,0.00033,0.93125,0.83329
0.15791,0.67996,0.65247,0.78262,0.78426,0.832,0.87441,0.80511,0.9092,0.12332,0.00074,0.85235,0.76706
0.10937,0.17331,0.2294,0.44752,0.70701,0.80826,0.90421,0.94498,0.99609,0.39438,0.00083,0.94192,0.90317
0.11113,0.16861,0.16257,0.26057,0.1341,0.34216,0.98332,0.95438,0.99469,0.47628,0.00192,0.64258,0.4676
0.0901,0.82233,0.8194,0.91927,0.91565,0.94757,0.97508,0.91357,0.99594,0.23275,0.00034,0.93659,0.8835
0.09334,0.27367,0.2649,0.39024,0.227,0.47613,0.95013,0.81753,0.98876,0.04092,0.00029,0.92118,0.75993
0.10757,0.24052,0.23918,0.42395,0.19105,0.56989,0.95219,0.8325,0.98823,0.05522,0.00046,0.79967,0.52418
0.11788,0.30925,0.34163,0.48221,0.60413,0.72133,0.8447,0.78022,0.98364,0.0406,0.0004,0.91105,0.7554
0.09989,0.24056,0.22344,0.2902,0.18625,0.39099,0.95724,0.83175,0.99224,0.0527,0.00031,0.8934,0.62773
0.10302,0.23022,0.2296,0.37248,0.20564,0.52757,0.95409,0.83883,0.98882,0.06508,0.00035,0.84947,0.58152
0.08558,0.47624,0.46601,0.55578,0.66861,0.75184,0.84584,0.77554,0.90776,0.07132,0.00034,0.70023,0.57909
0.08518,0.18711,0.1806,0.28682,0.15427,0.36716,0.996,0.97277,1.00139,0.57674,0.00842,0.95584,0.79344
0.11984,0.45318,0.43026,0.65385,0.32523,0.81476,0.93992,0.80297,0.98343,0.03339,0.00037,0.52461,0.30221
0.11065,0.1761,0.16233,0.25163,0.13613,0.32645,0.95157,0.83819,0.98709,0.06405,0.00048,0.64331,0.37797
0.09676,0.37428,0.38315,0.64868,0.32,0.84606,0.97287,0.88145,0.99677,0.12805,0.00044,0.55734,0.39808
0.09037,0.16945,0.16936,0.30646,0.17465,0.44009,0.99218,0.95406,1.00086,0.42522,0.00088,0.61256,0.46348
0.18409,0.4223,0.4015,0.54779,0.60954,0.74085,0.89042,0.73257,0.96146,0.01338,0.00071,0.85677,0.60581
0.08308,0.25028,0.27436,0.4518,0.25673,0.65928,0.99533,0.97229,1.00108,0.57423,0.00833,0.90506,0.75117
0.19152,0.2194,0.17337,0.24839,0.13045,0.31554,0.88418,0.69691,0.95511,0.00851,0.00078,0.57588,0.25557
0.13994,0.21214,0.20242,0.36146,0.18681,0.48055,0.96722,0.91848,0.98791,0.29022,0.00073,0.75044,0.65544
0.08402,0.32514,0.35137,0.57428,0.2862,0.71511,0.9642,0.85497,0.99405,0.08125,0.00031,0.93488,0.70419
0.12857,0.21116,0.22091,0.41665,0.21439,0.60791,0.98171,0.9655,0.99233,0.60426,0.01222,0.93601,0.77889
0.12316,0.33835,0.32443,0.46079,0.28053,0.63484,0.94509,0.81268,0.98584,0.0388,0.00049,0.912,0.74431
0.09731,0.25189,0.27589,0.49037,0.27249,0.72604,0.97925,0.92465,0.99549,0.28727,0.0004,0.94259,0.88817
0.08065,0.20573,0.2928,0.56067,0.42207,0.86423,0.99522,0.97271,1.00091,0.58197,0.00945,0.7855,0.60134
0.08868,0.57737,0.58739,0.73275,0.56412,0.80206,0.98411,0.92375,0.99899,0.26192,0.00041,0.56198,0.45086
0.14349,0.26437,0.26034,0.47378,0.24916,0.63032,0.94332,0.85212,0.97964,0.1088,0.00051,0.91063,0.81171
0.0882,0.25302,0.25784,0.39035,0.20825,0.49236,0.96587,0.85995,0.99466,0.09134,0.00029,0.84274,0.60398
0.09572,0.30741,0.37793,0.68099,0.35729,0.90072,0.96077,0.83794,0.99396,0.05705,0.00034,0.93103,0.61176
0.10133,0.44235,0.57712,0.95103,0.90282,0.93896,0.97514,0.89402,0.9968,0.16543,0.00045,0.94076,0.86303
0.12255,0.22851,0.2382,0.31738,0.46443,0.54694,0.62317,0.63003,0.75417,0.1382,0.00057,0.93349,0.85854
0.0562,0.37343,0.44097,0.79375,0.51084,0.98035,0.99166,0.95901,1.00003,0.50103,0.00329,0.7979,0.59986
0.23626,0.26046,0.18557,0.29593,0.1682,0.39806,0.85734,0.72327,0.93288,0.02664,0.00158,0.81113,0.57593
0.13032,0.21924,0.20231,0.32187,0.18094,0.45817,0.92829,0.7859,0.97684,0.02619,0.00043,0.7677,0.48859
0.08756,0.27596,0.30065,0.49753,0.23139,0.60647,0.96102,0.84352,0.99316,0.06752,0.00026,0.90322,0.57263
0.10434,0.19595,0.19036,0.37323,0.16369,0.45881,0.95576,0.83161,0.9911,0.05279,0.0004,0.92506,0.75308
0.11672,0.12235,0.08766,0.07154,0.06333,0.06318,0.06315,0.05512,0.06104,0.00848,0.00038,0.04858,0.04094
0.09571,0.19951,0.23062,0.4768,0.17569,0.63949,0.96962,0.87388,0.99543,0.1164,0.00033,0.9377,0.84225
0.08565,0.37088,0.43065,0.77462,0.46934,0.92674,0.96994,0.87585,0.99537,0.1212,0.00028,0.77111,0.53218
0.09102,0.2132,0.22119,0.41402,0.21773,0.6243,0.95314,0.83006,0.98904,0.05236,0.00036,0.92452,0.68828
0.10061,0.31955,0.33871,0.55485,0.32654,0.77394,0.98233,0.91329,0.99912,0.21725,0.00055,0.94595,0.76655
0.1576,0.23778,0.22572,0.42847,0.2315,0.6777,0.96378,0.95034,0.98211,0.57071,0.00894,0.92222,0.88734
0.09808,0.32026,0.31448,0.49718,0.31757,0.63763,0.99072,0.97573,0.99747,0.65452,0.02554,0.94952,0.93013
0.14817,0.24616,0.22032,0.3503,0.21134,0.49471,0.96893,0.92373,0.98855,0.31769,0.00077,0.92588,0.7421
0.07615,0.17353,0.17549,0.28666,0.15441,0.39423,0.96785,0.8668,0.99479,0.10445,0.00031,0.70108,0.45051
0.07827,0.21781,0.21548,0.37035,0.2277,0.66537,0.99425,0.96595,1.00117,0.52818,0.00433,0.96031,0.671
0.15496,0.50928,0.48981,0.82725,0.49712,0.86017,0.93106,0.80784,0.97634,0.04351,0.00054,0.89416,0.7446
0.17418,0.1779,0.13699,0.19882,0.19469,0.41654,0.94072,0.86388,0.978,0.13032,0.00081,0.72047,0.4756
