,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
47912,0.37685,0.28664,0.29971,0.29572,0.34107,0.39611,0.37436,0.5335,0.02356,0.0008,0.22292,0.15086
6763,0.56108,0.52952,0.58953,0.5404,0.64361,1.00332,0.93884,1.01509,0.30157,0.00052,0.07942,0.09612
10682,0.26345,0.22335,0.35224,0.22976,0.44233,0.84402,0.82027,0.85781,0.43906,0.05047,0.63308,0.61212
19572,0.80235,0.8206,0.86294,0.835,0.8668,0.893,0.82565,0.91208,0.36657,0.01537,0.63634,0.48144
22139,0.66681,0.64715,0.72688,0.75071,0.92724,0.98131,0.8669,1.01654,0.4984,0.09722,0.1154,0.13226
46759,0.81056,0.77072,0.79838,0.81072,0.81798,0.82292,0.81517,0.82548,0.77544,0.34815,0.15754,0.18542
14327,0.70988,0.66576,0.70281,0.76233,0.86064,0.90743,0.82263,0.93846,0.58729,0.11022,0.14726,0.16769
43296,0.43874,0.32429,0.37929,0.33757,0.45675,0.55492,0.50312,0.56394,0.08173,0.00132,0.30881,0.22115
786,0.12364,0.10671,0.14801,0.09091,0.20866,0.69345,0.72267,0.897,0.05462,0.0003,0.45623,0.29446
21951,0.85965,0.81995,0.8719,0.87434,0.90278,1.05024,1.01755,1.04707,0.65873,0.06621,0.46832,0.44964
40934,0.42522,0.39447,0.48089,0.37617,0.58366,0.88569,0.78981,0.91306,0.0885,0.00035,0.72378,0.50349
40293,0.60657,0.52075,0.55727,0.6033,0.6411,0.68287,0.605,0.70749,0.14168,0.00054,0.472,0.37013
12623,0.36582,0.33647,0.40663,0.31185,0.46904,0.9356,0.83175,0.96462,0.0808,0.00041,0.16006,0.1778
30055,0.63429,0.59879,0.64164,0.62268,0.69959,0.98612,0.91695,0.99756,0.4724,0.02817,0.06473,0.08223
