,COT
148937,22.048
145812,39.403
9927,23.461
41015,1.214
118141,17.988
157999,23.441
115334,20.99
98131,0.0
132348,6.156
47846,20.371
8041,0.575
170320,47.877
85869,0.0
145101,12.828
83239,0.0
8888,11.048
152938,20.658
112072,6.27
156450,48.874
24314,10.598
124744,22.593
58434,0.0
89184,0.0
137776,4.494
66754,0.0
86644,0.0
174156,18.198
60394,0.0
1567,2.369
100793,5.906
123011,9.713
4551,22.605
168218,49.921
181881,49.887
182096,26.371
88519,0.0
50423,0.0
63962,0.0
109545,13.64
187800,48.45
53274,0.0
96865,0.0
120539,3.986
7880,6.716
189611,40.456
108119,6.437
79654,0.0
23155,2.591
49978,26.273
169238,17.076
7133,20.356
65218,0.0
109585,19.07
136673,3.756
180607,49.909
81361,0.0
192311,29.41
152150,15.799
195862,22.978
143095,49.298
113648,1.684
148857,33.899
183816,33.311
170964,29.355
198044,42.799
104136,3.093
40762,49.903
121244,30.842
187849,18.987
463,28.569
117709,21.328
37483,0.178
186590,25.092
96447,0.0
110347,33.895
59026,0.0
188465,25.3
29462,1.993
91506,0.0
76019,0.0
88962,0.0
1415,1.256
118598,3.863
144052,9.725
160254,49.414
2279,5.668
172433,49.97
77393,0.0
120101,19.195
144270,23.956
38658,15.874
95244,0.0
43642,15.069
118729,0.929
199777,26.671
67981,0.0
135261,6.186
49881,34.393
117974,13.03
61133,0.0
120967,26.723
86848,0.0
42256,8.592
99262,0.0
191394,36.643
171222,13.969
117129,7.306
121923,49.996
188401,37.368
38225,10.029
109935,22.098
69169,0.0
143734,0.207
93393,0.0
84707,0.0
10807,21.185
86524,0.0
135040,36.517
183987,37.22
34298,7.343
130767,9.035
753,47.894
30850,12.714
10470,1.925
66366,0.0
172214,19.643
129635,30.395
35369,0.447
188537,20.151
15733,42.942
71520,0.0
108479,22.441
112971,7.091
37399,2.943
16752,16.392
10567,22.029
89355,0.0
175282,20.501
142009,9.91
16335,18.518
132556,17.986
167197,42.056
108307,1.52
106357,5.315
159934,49.934
148312,48.668
182476,5.175
161425,33.522
42566,16.178
110510,4.608
94173,0.0
76458,0.0
40383,4.709
107966,24.167
103216,6.471
22456,12.69
133280,18.041
45948,8.129
48395,8.322
141364,6.086
6300,4.337
78726,0.0
125467,2.753
108988,6.971
132299,0.127
58376,0.0
184517,4.226
153800,49.173
131741,9.184
47487,2.377
175888,5.496
11939,19.661
112860,48.474
30983,20.064
195295,40.307
140613,6.437
171239,27.772
151872,31.428
64876,0.0
104801,0.609
97154,0.0
185325,8.955
56435,0.0
47483,21.745
10328,1.42
96125,0.0
147336,43.689
17920,3.897
116383,0.232
122810,7.807
13595,16.771
180750,26.244
7735,10.891
16677,14.481
4795,12.048
80652,0.0
36152,1.356
199286,7.741
95554,0.0
80558,0.0
144666,0.897
112231,12.694
16063,7.96
193769,3.967
4982,17.471
131408,2.97
35423,11.956
8616,20.87
190305,11.685
107361,0.677
70795,0.0
99538,0.0
130309,8.496
68986,0.0
197816,37.415
62531,0.0
142563,11.208
155207,49.792
199568,3.863
76449,0.0
81170,0.0
50312,0.0
165545,32.664
199463,29.99
61013,0.0
125464,7.734
98072,0.0
47315,17.583
