,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,COT_est
184982,0.78412,0.75168,0.78366,0.83836,0.97299,0.97714,0.95519,0.9748,0.783,0.30653,0.41077,0.33835,50.07,2.0
56311,0.34572,0.52292,0.47054,0.78172,0.95614,0.98176,0.91704,0.99843,0.24298,0.00039,0.94655,0.60315,43.64,0.0
120323,0.70521,0.6375,0.6802,0.70654,0.80339,0.80348,0.77837,0.79693,0.59235,0.05833,0.06501,0.08106,72.57,2.0
127505,0.49937,0.4934,0.47975,0.5473,0.87541,0.97221,0.96576,0.98247,0.74552,0.23317,0.12006,0.14074,44.92,2.0
28490,0.32805,0.35837,0.2422,0.48441,0.62169,0.62355,0.61346,0.62507,0.41755,0.02131,0.55031,0.30307,80.67,2.0
28656,0.72412,0.67122,0.71995,0.72026,0.73191,0.74037,0.71456,0.74524,0.39185,0.01002,0.60875,0.50624,65.38,2.0
164715,0.57182,0.53424,0.54815,0.61547,0.83115,0.84073,0.81448,0.84883,0.55626,0.18055,0.13079,0.15335,72.47,2.0
139189,0.45331,0.47814,0.42561,0.56017,0.97635,0.99417,0.93475,1.00817,0.48917,0.1427,0.16431,0.16165,48.37,2.0
76235,0.18434,0.30644,0.13852,0.42157,0.92679,0.9708,0.8736,0.99631,0.11221,0.00032,0.70023,0.26619,34.73,0.0
165850,0.50024,0.54899,0.46349,0.67874,0.94739,0.95328,0.94027,0.95891,0.64618,0.05013,0.55599,0.37372,55.02,2.0
50245,0.37278,0.38273,0.45844,0.48468,0.5065,0.52312,0.51322,0.5206,0.3267,0.02,0.53027,0.47909,32.28,1.0
99255,0.93918,0.86952,0.93285,0.93011,0.95707,0.97716,0.93064,0.99313,0.32721,0.00075,0.49446,0.59714,65.08,0.0
106232,0.8374,0.79698,0.84691,0.85366,0.87863,0.91799,0.86079,0.93105,0.68458,0.16278,0.1101,0.13431,49.53,2.0
156833,0.68342,0.64171,0.66028,0.63928,0.79281,0.89259,0.76596,0.92612,0.15213,0.00049,0.47633,0.3211,54.79,2.0
59955,0.3583,0.34656,0.37078,0.36434,0.37671,0.384,0.36103,0.36933,0.16152,0.00049,0.25911,0.24783,39.96,0.0
19725,0.46027,0.46946,0.42429,0.57825,0.84384,0.8487,0.8358,0.85316,0.5545,0.02522,0.57742,0.3745,64.56,2.0
78755,0.25992,0.43257,0.20948,0.58966,0.92688,0.96539,0.88543,0.99069,0.15256,0.00046,0.92885,0.40692,63.54,0.0
112755,0.32998,0.32142,0.2876,0.42146,0.8257,0.84161,0.80563,0.85585,0.30033,0.00105,0.32848,0.21419,76.54,1.0
157394,0.70586,0.6746,0.69013,0.72697,0.98945,0.99625,0.95719,0.99911,0.6276,0.14432,0.08752,0.10836,46.62,2.0
39942,0.97919,0.9121,0.92688,0.79548,0.86244,0.95059,0.79318,1.00653,0.21061,0.00086,0.72217,0.48093,44.11,2.0
7592,0.56364,0.61014,0.88176,1.01064,1.02693,1.03624,1.01329,1.0458,0.57992,0.00741,0.87434,0.70135,41.0,2.0
167320,0.68087,0.61825,0.65728,0.67299,0.67999,0.68187,0.67379,0.68212,0.52829,0.04371,0.10133,0.11941,71.49,2.0
198033,0.42107,0.38408,0.38467,0.46256,0.75884,0.76786,0.75151,0.77691,0.52476,0.20636,0.26082,0.23915,78.7,2.0
159263,0.83789,0.79552,0.83037,0.85696,0.94586,0.94504,0.92127,0.93648,0.66515,0.12922,0.58861,0.44866,47.98,2.0
119343,0.74147,0.71495,0.72428,0.78351,0.98592,0.9858,0.95086,0.98024,0.71093,0.11177,0.06185,0.07853,43.75,2.0
34137,0.64949,0.90572,0.92946,0.79997,0.87115,0.95741,0.80057,1.00975,0.10777,0.0003,0.60373,0.38628,46.77,2.0
73928,0.6218,0.93429,0.95717,0.90805,0.94297,0.97752,0.89712,0.99816,0.16909,0.00029,0.94449,0.85948,34.48,0.0
191009,0.56995,0.88563,0.94637,1.01182,1.01954,1.02214,1.01732,1.02494,0.84614,0.12638,0.18553,0.21847,44.22,2.0
166350,0.70707,0.65021,0.68675,0.7225,0.85315,0.85232,0.83826,0.84887,0.65212,0.10924,0.12292,0.14312,69.9,2.0
69345,0.35882,0.57408,0.46254,0.78461,0.85673,0.93638,0.79386,0.98197,0.02805,0.00051,0.68485,0.28449,67.96,0.0
167663,0.63261,0.55434,0.59782,0.64609,0.741,0.74459,0.72586,0.74494,0.55842,0.10804,0.13082,0.14945,78.74,2.0
96228,0.23801,0.32366,0.20709,0.45539,0.99262,0.99751,0.98077,1.00166,0.65953,0.02713,0.89416,0.53045,31.78,0.0
92296,0.29451,0.3268,0.48667,0.59891,0.70581,0.8199,0.92355,1.00027,0.66103,0.02795,0.95931,0.94291,47.58,0.0
65928,0.22238,0.32967,0.18435,0.45129,0.95104,0.98036,0.9101,0.99817,0.22207,0.00029,0.91064,0.52114,32.03,0.0
84091,0.60176,0.57908,0.58964,0.53072,0.58298,0.65456,0.58512,0.71745,0.0341,0.00028,0.92558,0.75827,39.74,0.0
23877,0.87179,0.83117,0.85387,0.82107,0.93462,1.00933,0.87277,1.05584,0.18165,0.0003,0.7515,0.566,43.62,2.0
196788,0.47476,0.40748,0.41148,0.46351,0.65324,0.66079,0.63285,0.66534,0.32161,0.01332,0.34725,0.3183,77.52,2.0
47504,0.79372,0.7494,0.79034,0.79605,0.81129,0.82305,0.8017,0.83183,0.49086,0.03409,0.69165,0.57221,52.6,2.0
9038,0.56508,0.53161,0.54499,0.58255,0.75645,0.79515,0.72543,0.82131,0.45291,0.07566,0.53999,0.39326,66.12,2.0
173619,0.66016,0.61817,0.63053,0.66767,0.71902,0.74763,0.68409,0.76029,0.42764,0.02359,0.13765,0.13251,66.52,2.0
174783,0.59563,0.56633,0.5752,0.65273,0.87865,0.88516,0.86602,0.89084,0.63585,0.28059,0.17157,0.19296,68.34,2.0
84521,0.44288,0.56783,0.84948,0.75136,0.83441,0.92362,0.77098,0.97561,0.01932,0.00042,0.88969,0.68195,71.62,0.0
177706,0.52883,0.54845,0.49361,0.63894,0.89934,0.9336,0.85052,0.95662,0.42809,0.14778,0.15161,0.1552,58.37,2.0
24765,0.31648,0.32271,0.26975,0.36983,0.82933,0.88976,0.80242,0.91519,0.2322,0.01622,0.42739,0.22941,58.5,2.0
181703,0.82467,0.78964,0.80776,0.83003,0.92934,0.96874,0.88981,0.99619,0.75596,0.31802,0.12502,0.15338,37.9,2.0
63966,0.30245,0.45807,0.26138,0.69317,0.96326,0.97851,0.9418,0.99282,0.40008,0.00076,0.93678,0.54446,65.21,0.0
