,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
207753,0.79562,0.75964,0.79286,0.80272,0.81224,0.81843,0.80948,0.82437,0.60488,0.07979,0.7464,0.61186
24448,0.50383,0.43278,0.44943,0.45542,0.60504,0.64025,0.57142,0.65824,0.15234,0.00067,0.33708,0.21095
64754,0.41124,0.63292,0.34553,0.87954,0.98452,0.9938,0.96116,1.00104,0.47614,0.00125,0.44929,0.33542
43789,0.41561,0.34708,0.35281,0.40159,0.5462,0.57269,0.52376,0.58859,0.24528,0.01129,0.34336,0.21897
86478,0.22758,0.31264,0.18578,0.43035,0.96122,0.9774,0.93995,0.99254,0.39475,0.00079,0.91284,0.57092
65868,0.31574,0.49611,0.27374,0.59851,0.90313,0.96173,0.84143,0.99416,0.06126,0.00034,0.93163,0.48293
342035,0.58515,0.54096,0.56009,0.56164,0.56824,0.57121,0.55501,0.57246,0.31521,0.00416,0.07089,0.08546
374377,0.84122,0.78572,0.82821,0.84647,0.85331,0.8564,0.85241,0.85853,0.73437,0.20074,0.19873,0.23492
140345,0.83527,0.79228,0.81724,0.83461,0.93373,0.97515,0.9436,0.96451,0.83518,0.25442,0.07959,0.09993
52936,0.25139,0.34518,0.2193,0.49232,0.99708,0.99908,0.99495,1.0015,0.84689,0.22627,0.9638,0.66711
272811,0.03498,0.02052,0.01088,0.0088,0.00725,0.00583,0.00463,0.00394,0.00268,0.00048,0.00032,0.0
233816,0.08993,0.05936,0.04339,0.03775,0.03703,0.03684,0.03207,0.03536,0.00544,0.00036,0.03642,0.03708
198705,0.43671,0.43035,0.40266,0.59683,0.75654,0.76849,0.74414,0.77942,0.37878,0.01087,0.21237,0.18821
248949,0.46059,0.42877,0.44388,0.4526,0.45682,0.4601,0.45859,0.46424,0.36158,0.06953,0.40199,0.31175
284552,0.09552,0.05826,0.03523,0.02865,0.02457,0.02046,0.01571,0.01424,0.00568,0.00074,0.00116,0.0
73106,0.22866,0.23829,0.16541,0.36044,0.92907,0.94881,0.94035,0.97355,0.58085,0.00895,0.47684,0.1789
5525,0.33428,0.26039,0.28589,0.31554,0.35016,0.38324,0.39655,0.45523,0.14144,0.00129,0.46034,0.34862
147300,0.78641,0.68636,0.75476,0.77915,0.79398,0.79992,0.78365,0.80542,0.48659,0.01554,0.09021,0.11407
256154,0.10662,0.06534,0.04093,0.03475,0.02951,0.02425,0.01931,0.01679,0.00937,0.00127,0.00137,0.0
245847,0.2561,0.2154,0.20983,0.20576,0.20841,0.21121,0.20189,0.21266,0.07514,0.00043,0.1956,0.1642
45776,0.37164,0.4095,0.73779,0.90327,0.9684,1.03772,0.90288,1.076,0.06329,0.00031,0.52614,0.2548
43589,0.39003,0.43081,0.37629,0.53727,0.98086,0.9926,0.96027,1.00317,0.49837,0.01639,0.62806,0.38477
121359,0.68483,0.63401,0.66152,0.68022,0.78512,0.851,0.7966,0.85911,0.4808,0.04267,0.0846,0.1047
390365,0.84218,0.79798,0.84102,0.85098,0.8562,0.85745,0.84638,0.85612,0.66814,0.11468,0.23695,0.2225
250620,0.03933,0.02314,0.01242,0.01008,0.00832,0.0067,0.00532,0.00453,0.00301,0.00049,0.00037,0.0
213519,0.74417,0.70214,0.73646,0.71866,0.74407,0.7671,0.72255,0.78477,0.27375,0.00146,0.68574,0.5598
159173,0.78707,0.7615,0.76796,0.82255,0.86534,0.93015,0.80695,0.97084,0.41756,0.02052,0.08571,0.10561
122334,0.65038,0.50519,0.58271,0.60324,0.625,0.6386,0.61628,0.64525,0.51053,0.11095,0.08485,0.10066
93572,0.27378,0.40513,0.22427,0.62874,0.92396,0.95949,0.88945,0.9862,0.182,0.0006,0.92105,0.46732
20116,0.60692,0.61293,0.59919,0.68961,0.91142,0.96498,0.85577,0.99688,0.19539,0.00047,0.79646,0.52982
341134,0.49866,0.44876,0.47345,0.48617,0.49016,0.49066,0.48766,0.49097,0.40775,0.0536,0.07797,0.09586
268781,0.05045,0.0301,0.01626,0.01292,0.0108,0.00881,0.0068,0.006,0.00267,0.00032,0.00049,0.0
143574,0.62683,0.60776,0.60818,0.66462,0.9683,0.99307,0.91414,1.00867,0.52599,0.07761,0.07304,0.09217
75491,0.32173,0.46208,0.2908,0.59587,0.98749,0.99432,0.97379,1.00013,0.60471,0.01276,0.90817,0.47481
313800,0.33098,0.29736,0.29521,0.29568,0.29682,0.29657,0.29101,0.29534,0.21357,0.01948,0.07166,0.08514
364677,0.73108,0.68429,0.71745,0.73021,0.73867,0.74388,0.73566,0.7486,0.5496,0.07782,0.53705,0.46865
155797,0.61711,0.52765,0.57638,0.61704,0.66944,0.69253,0.64759,0.7032,0.37746,0.00638,0.07294,0.08775
368143,0.86537,0.82285,0.84936,0.86152,0.86369,0.86279,0.86165,0.86054,0.85694,0.36933,0.14537,0.1752
59526,0.26273,0.37777,0.23332,0.54206,0.98063,0.98788,0.97343,0.99568,0.65325,0.02224,0.76341,0.35637
941,0.4024,0.43171,0.39116,0.50584,0.95826,0.98578,0.92011,1.00568,0.23395,0.00039,0.58073,0.42277
14812,0.36417,0.34741,0.4297,0.46535,0.49833,0.53106,0.55029,0.58037,0.35125,0.00632,0.6287,0.45227
204903,0.36298,0.2807,0.29329,0.3047,0.30849,0.30897,0.30348,0.30938,0.19452,0.00833,0.25394,0.19527
54616,0.38833,0.56207,0.32526,0.76512,0.9493,0.97068,0.92347,0.98962,0.3038,0.00086,0.92603,0.55886
275536,0.05122,0.03062,0.01667,0.01335,0.01115,0.00907,0.00704,0.00618,0.00284,0.00031,0.0005,0.0
271576,0.05442,0.03231,0.01806,0.01459,0.01225,0.01,0.00778,0.00684,0.00326,0.00041,0.00056,0.0
150409,0.40963,0.35269,0.33352,0.37832,0.55195,0.60723,0.50352,0.63449,0.02221,0.00057,0.17857,0.13105
104069,0.59726,0.54301,0.57024,0.60255,0.77892,0.80282,0.74799,0.81457,0.46824,0.04018,0.06376,0.07963
261810,0.08059,0.04861,0.02768,0.02245,0.01889,0.01547,0.01203,0.01061,0.00477,0.00054,0.00086,0.0
111033,0.55257,0.546,0.52563,0.60968,0.83833,0.87823,0.79887,0.90463,0.5046,0.23149,0.1535,0.1762
398863,0.66902,0.6296,0.64755,0.65011,0.65659,0.66013,0.64699,0.66183,0.4812,0.06657,0.0916,0.1122
79711,0.24914,0.35028,0.21122,0.4644,0.93362,0.97339,0.8857,0.99648,0.14176,0.00032,0.79903,0.34785
324312,0.44793,0.41488,0.41862,0.41804,0.42174,0.42328,0.4124,0.4234,0.25779,0.00883,0.07403,0.08963
377622,0.5206,0.40342,0.46829,0.50079,0.51615,0.52139,0.51039,0.52697,0.29531,0.00385,0.11086,0.12051
262722,0.05583,0.03332,0.01802,0.01428,0.01195,0.00977,0.00752,0.00666,0.00288,0.00034,0.00054,0.0
221061,0.20393,0.137,0.11792,0.10686,0.10855,0.10945,0.09571,0.10683,0.0145,0.00078,0.08974,0.07162
