,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
207753,0.05924,0.0331,0.01701,0.01341,0.0111,0.00897,0.00691,0.00605,0.0028,0.00031,0.00048,0.0
24448,0.16815,0.19342,0.12598,0.2609,0.86014,0.93067,0.81129,0.97554,0.05129,0.00061,0.54233,0.20055
64754,0.41124,0.63292,0.34553,0.87954,0.98452,0.9938,0.96116,1.00104,0.47614,0.00125,0.44929,0.33542
43789,0.27862,0.29514,0.20469,0.38971,0.81236,0.89865,0.76213,0.95871,0.02563,0.00081,0.72689,0.27072
86478,0.22758,0.31264,0.18578,0.43035,0.96122,0.9774,0.93995,0.99254,0.39475,0.00079,0.91284,0.57092
65868,0.31574,0.49611,0.27374,0.59851,0.90313,0.96173,0.84143,0.99416,0.06126,0.00034,0.93163,0.48293
342035,0.06771,0.0377,0.01957,0.01571,0.01293,0.01037,0.00814,0.00696,0.00408,0.0005,0.00055,0.0
374377,0.05369,0.02958,0.01538,0.0124,0.0102,0.00818,0.00644,0.00549,0.00344,0.0005,0.00044,0.0
140345,0.10943,0.1646,0.07498,0.25638,0.92656,0.99644,0.97861,1.00107,0.63908,0.01257,0.44795,0.16883
52936,0.25139,0.34518,0.2193,0.49232,0.99708,0.99908,0.99495,1.0015,0.84689,0.22627,0.9638,0.66711
272811,0.03498,0.02052,0.01088,0.0088,0.00725,0.00583,0.00463,0.00394,0.00268,0.00048,0.00032,0.0
233816,0.06435,0.03558,0.01831,0.01441,0.01195,0.00967,0.00743,0.00652,0.00304,0.00036,0.00052,0.0
198705,0.35682,0.41759,0.32,0.66784,0.91679,0.94533,0.90215,0.97439,0.27552,0.00133,0.89731,0.48029
248949,0.05497,0.03012,0.01541,0.01212,0.01004,0.00812,0.00624,0.00547,0.00254,0.00031,0.00043,0.0
284552,0.09552,0.05826,0.03523,0.02865,0.02457,0.02046,0.01571,0.01424,0.00568,0.00074,0.00116,0.0
73106,0.22866,0.23829,0.16541,0.36044,0.92907,0.94881,0.94035,0.97355,0.58085,0.00895,0.47684,0.1789
5525,0.33274,0.29077,0.37184,0.43527,0.51493,0.59496,0.62581,0.75191,0.15262,0.00127,0.88028,0.78859
147300,0.86967,0.78535,0.89282,0.92816,0.95375,0.96812,0.95006,0.98468,0.53342,0.00472,0.4849,0.59232
256154,0.10662,0.06534,0.04093,0.03475,0.02951,0.02425,0.01931,0.01679,0.00937,0.00127,0.00137,0.0
245847,0.07634,0.04204,0.02191,0.01736,0.01441,0.01165,0.00898,0.00786,0.00367,0.0004,0.00062,0.0
45776,0.19641,0.27016,0.68239,0.84434,0.9006,0.95905,0.84191,0.9921,0.06622,0.00031,0.51999,0.185
43589,0.22614,0.32632,0.18859,0.46282,0.9834,0.99166,0.96604,0.99927,0.53529,0.00377,0.67026,0.28721
121359,0.16115,0.1968,0.11725,0.26641,0.8377,0.96332,0.89555,0.98561,0.21281,0.00044,0.5705,0.23368
390365,0.06209,0.0345,0.01781,0.01422,0.01171,0.00941,0.00735,0.00632,0.00349,0.00045,0.0005,0.0
